Sample,time,power,scale
8X 2,2.2723,1540.8175,1.95
8X 2,2.3363,67354.6318,2
8X 2,2.5643,29773.6552,1.95
8X 2,2.6683,159699.3541,1.8
8X 2,2.7083,165811.196,2.95
8X 2,2.7523,241214.5802,2.55
8X 2,2.8523,15498.5737,1.7
8X 2,2.9523,1172871.501,2.95
8X 3,1.5083,88.0559,2.75
8X 3,1.7203,198564.8686,1.65
8X 3,2.1643,1359344.5034,2.05
8X 3,2.2803,15128.3868,2
8X 3,2.3323,21935.5917,1.7
8X 3,2.4603,228173.9063,2.95
8X 3,2.5283,364755.0046,1.6
8X 3,2.6243,102790.5703,1.75
8X 3,2.7323,489157.2143,2.75
8X 3,2.7803,775659.4409,3
8X 3,2.8163,57017.7518,1.75
8X 3,2.9083,394825.1611,1.55
16X 1,1.5123,489705.5844,2.1
16X 1,1.6363,220616.8959,1.85
16X 1,1.6803,133055.3797,2.1
16X 1,1.8683,335797.3442,2.85
16X 1,1.9643,524389.6511,1.65
16X 1,2.2043,228523.8538,3
16X 1,2.2603,190809.957,2.6
16X 1,2.3083,302093.3226,2.2
16X 1,2.4203,294248.1604,3
16X 1,2.5843,257447.3616,3
16X 1,2.6403,109678.9491,2.45
16X 1,2.7523,339808.6791,1.75
16X 1,2.8683,19050.0994,3
16X 1,2.9643,610551.7185,2.25
16X 2,1.3963,222330.2955,3
16X 2,1.5203,39648.2898,1.9
16X 2,1.5603,305287.859,2.75
16X 2,1.6723,209559.11060000001,1.5
16X 2,1.7563,2865.9651,1.85
16X 2,1.9523,54702.5898,2.35
16X 2,1.9843,73765.9744,2.45
16X 2,2.2163,1093735.3278,2.85
16X 2,2.7203,499894.2457,1.8
16X 2,2.7723,973499.6506,1.85
16X 2,2.8363,16680.0672,1.85
16X 2,2.9283,700931.0931,2.95
16X 3,1.3963,61898.3718,2.95
16X 3,1.5803,27962.2534,2.25
16X 3,1.6203,3176.7656,2.25
16X 3,1.8883,84552.1297,1.6
16X 3,1.9283,38260.1589,1.55
16X 3,1.9643,265488.7015,2.9
16X 3,2.1363,68293.9781,1.5
16X 3,2.1963,240104.064,1.6
16X 3,2.2603,92756.8462,2.85
16X 3,2.3323,372617.8109,1.5
16X 3,2.4043,41049.4912,2.05
16X 3,2.4443,104710.6474,1.6
16X 3,2.4883,132965.2505,3
16X 3,2.6043,46611.0404,2.95
16X 3,2.6523,13689.3007,1.85
16X 3,2.7283,8479.678,2.5
16X 3,2.7643,613814.8668,1.85
16X 3,2.7963,555.9354,1.6
16X 3,2.8603,168699.5048,1.6
16X 3,2.9163,231628.4333,1.55
32X 1,1.5483,57798.2058,1.5
32X 1,1.7643,347024.2547,1.6
32X 1,1.8763,564702.2172,1.5
32X 1,1.9883,1726256.6142,2.9
32X 1,2.0203,119968.1254,1.5
32X 1,2.1403,1436294.6501,1.6
32X 1,2.2723,591640.712,3
32X 1,2.3363,25990.6189,2.6
32X 1,2.3763,49826.3627,2.9
32X 1,2.4123,373059.5813,1.55
32X 1,2.4803,27547.3063,2.95
32X 1,2.5163,110875.8968,1.7
32X 1,2.6123,583298.7535,2.2
32X 1,2.6683,411134.4714,3
32X 1,2.7283,551834.0292,2.95
32X 1,2.8603,464735.1703,1.9
32X 1,2.9203,420520.7488,1.55
32X 1,2.9483,19156.2356,2.1
32X 1,2.9763,23724.0139,1.5
32X 2,1.7123,527.2667,1.75
32X 2,1.7483,363442.2604,2.1
32X 2,1.8083,584069.4372,2.95
32X 2,1.8923,350189.8728,2.1
32X 2,1.9683,624675.5706,1.55
32X 2,2.1403,57733.5009,2.45
32X 2,2.1723,55214.0658,2.05
32X 2,2.2083,375747.5457,3
32X 2,2.2883,634585.7911,2.9
32X 2,2.3443,284752.822,3
32X 2,2.3843,339991.7103,2.15
32X 2,2.4243,1380575.5276,2.1
32X 2,2.5243,142441.3395,1.5
32X 2,2.5643,212877.9953,1.5
32X 2,2.7003,163115.5763,1.85
32X 2,2.7643,77392.8591,3
32X 2,2.8243,681375.3759,1.65
32X 2,2.9843,16611.1104,2.95
32X 3,1.4883,268239.7862,2.25
32X 3,1.8323,481491.1059,2.65
32X 3,1.8843,87635.6096,2.3
32X 3,1.9603,152765.7575,2.6
32X 3,2.0083,479636.2577,1.75
32X 3,2.1243,125107.6544,1.7
32X 3,2.1563,654125.458,2.9
32X 3,2.2203,25543.1736,2.85
32X 3,2.2603,304016.8387,2.95
32X 3,2.3803,659842.2379,2
32X 3,2.4123,13203.2925,1.55
32X 3,2.4563,233983.9112,3
32X 3,2.5123,251114.9191,3
32X 3,2.6323,405539.5539,1.5
32X 3,2.6723,177412.6713,2.3
32X 3,2.7323,627407.9802,1.55
32X 3,2.7763,2564247.1945,3
32X 3,2.8403,298017.5127,2.7
32X 3,2.9403,256404.5997,1.85
32X 3,2.9763,174105.8173,3
64X 1,1.5643,40980.828,3
64X 1,1.8203,1213655.637,2.95
64X 1,1.8803,192040.2582,1.6
64X 1,1.9403,403937.104,2.45
64X 1,1.9883,1248906.4997,2.9
64X 1,2.1283,314469.2255,1.5
64X 1,2.2043,97828.1498,2.1
