Sample,time,power,scale
0_5X 1,1.0763,4402251.5861,2.4
0_5X 1,1.1203,5988990.5899,2.65
0_5X 1,1.2243,13963936.0612,1.5
0_5X 1,1.2603,45060.1826,2.1
0_5X 1,1.2883,4282887.7864,2.5
0_5X 1,1.3283,1123608.5364,1.95
0_5X 1,1.3723,6459468.9961,1.6
0_5X 1,1.4363,474112.2238,1.5
0_5X 1,1.4763,10876962.3227,2.8
0_5X 1,1.5203,151044.0842,2.4
0_5X 1,1.5563,1255510.4569,2.65
0_5X 1,1.5923,5046820.9563,2
0_5X 1,1.7043,3101340.8785,1.7
0_5X 1,1.7603,646563.9758,2.95
0_5X 1,1.8323,258161.036,2.25
0_5X 1,1.8563,642041.8441,1.95
0_5X 1,1.8843,9367140.7084,1.85
0_5X 1,1.9163,2423667.9487,2.15
0_5X 1,1.9763,1144412.5301,1.5
0_5X 1,2.0243,8966598.0942,1.55
0_5X 1,2.0803,1123140.8601,1.6
0_5X 1,2.1483,13299905.6545,3
0_5X 1,2.2083,4021013.6966,1.6
0_5X 1,2.2763,8644134.3106,3
0_5X 1,2.3403,2741609.5914,2.1
0_5X 1,2.3803,5490209.1509,2.1
0_5X 1,2.4043,1312205.7143,1.5
0_5X 1,2.4403,2088629.3473,1.5
0_5X 1,2.4723,3870483.1668,2.45
0_5X 1,2.5043,993966.9809,2.25
0_5X 1,2.5483,3819602.1471,3
0_5X 1,2.5803,146151.493,1.55
0_5X 1,2.6403,1566232.6862,2.95
0_5X 1,2.6803,3966178.9994,2.2
0_5X 1,2.7283,7530289.2835,3
0_5X 1,2.8203,2620475.5231,1.55
0_5X 1,2.8643,3807996.1857,1.8
0_5X 1,2.8923,1417247.7013,1.6
0_5X 1,2.9283,7326413.4814,1.55
0_5X 1,2.9643,11484909.8916,3
0_5X 2,0.6363,101805.5107,1.6
0_5X 2,0.6883,620650.8432,2
0_5X 2,0.7683,1916610.066,1.95
0_5X 2,0.8483,678760.1317,1.6
0_5X 2,0.9003,904040.9355,2.05
0_5X 2,0.9483,120961.814,1.95
0_5X 2,0.9803,2160024.9393,2.1
0_5X 2,1.0243,920913.7761,2.75
0_5X 2,1.0723,11817523.6729,2.35
0_5X 2,1.1123,8515150.3442,3
0_5X 2,1.2043,1828838.254,1.55
0_5X 2,1.2683,1034180.2108,2.45
0_5X 2,1.3163,11808793.7476,2.2
0_5X 2,1.3563,1701783.0816,3
0_5X 2,1.4043,442588.0668,1.9
0_5X 2,1.4323,3697134.194,1.55
0_5X 2,1.4843,18937063.2985,1.6
0_5X 2,1.5323,1545793.2218,1.55
0_5X 2,1.5843,3094878.4373,2.05
0_5X 2,1.6203,2813533.0473,1.95
0_5X 2,1.6443,391022.7809,1.9
0_5X 2,1.7483,1560166.5677,1.55
0_5X 2,1.8323,3215987.4712,2.95
0_5X 2,1.8763,4940052.589,1.85
0_5X 2,1.9403,6279545.4364,1.55
0_5X 2,1.9803,708944.1015,2.55
0_5X 2,2.0163,1884063.2598000001,1.9
0_5X 2,2.0603,659910.5797,1.65
0_5X 2,2.1083,15302064.9788,1.55
0_5X 2,2.1563,4098501.5183,1.9
0_5X 2,2.2003,1558078.2801,1.5
0_5X 2,2.2483,671639.4998,1.5
0_5X 2,2.2923,1925901.8759,2.95
0_5X 2,2.3483,1235323.9136,2.95
0_5X 2,2.3843,720113.3071,1.55
0_5X 2,2.4163,5357426.3813,2.65
0_5X 2,2.4643,3299591.7325,3
0_5X 2,2.5323,15144915.2106,2.85
0_5X 2,2.5603,626203.0508,1.9
0_5X 2,2.6083,1234745.2996,1.75
0_5X 2,2.6603,6376756.2859,2.65
0_5X 2,2.6923,7181789.48,1.9
0_5X 2,2.7283,1213659.0959,1.6
0_5X 2,2.7883,825846.5612,2.95
0_5X 2,2.8323,19240547.5331,1.8
0_5X 2,2.8883,2365806.8204,1.5
0_5X 2,2.9563,6819902.8078,1.5
0_5X 3,0.7203,108636.5099,1.6
0_5X 3,0.7603,458710.4103,2.75
0_5X 3,0.8043,554685.6494,2.8
0_5X 3,0.8603,376464.3481,3
0_5X 3,0.8843,586505.0921,1.7
0_5X 3,0.9283,104584.8741,1.6
0_5X 3,0.9723,2613940.6458,1.55
0_5X 3,1.0083,666884.7381,1.5
0_5X 3,1.0563,1096367.1786,1.6
0_5X 3,1.0923,558340.967,1.9
0_5X 3,1.1923,1140118.1861,1.55
0_5X 3,1.2643,4868123.1937,1.5
0_5X 3,1.3163,1220222.6359,2.95
0_5X 3,1.3643,8310366.5744,2.7
0_5X 3,1.4083,1068358.5902,3
0_5X 3,1.4723,1289675.455,1.6
0_5X 3,1.5363,807940.7071,1.55
0_5X 3,1.5723,656088.4441,1.95
0_5X 3,1.6003,1177834.842,2
0_5X 3,1.6523,1119449.4018,1.55
0_5X 3,1.7123,4393776.5505,1.6
0_5X 3,1.7603,725059.0381,2.65
0_5X 3,1.8003,1429155.8773,1.55
0_5X 3,1.8483,1197187.6256,1.6
0_5X 3,1.9203,10079660.436,1.8
0_5X 3,1.9843,4104421.2769,1.5
0_5X 3,2.0283,3041753.7181,2.25
0_5X 3,2.0643,680368.9883,1.8
0_5X 3,2.1123,492584.3791,1.8
0_5X 3,2.1403,57398272.6416,3
0_5X 3,2.2003,7566791.465,2.2
0_5X 3,2.2403,612281.1184,1.5
0_5X 3,2.2843,440160.8045,1.75
0_5X 3,2.3243,919125.0961,1.5
0_5X 3,2.3883,2300498.8873,1.8
0_5X 3,2.4163,312128.1543,2.1
0_5X 3,2.4523,3210968.0974,1.55
0_5X 3,2.4923,6865729.5429,1.6
0_5X 3,2.5563,16420249.768,2.65
0_5X 3,2.5883,98430.7123,1.6
0_5X 3,2.6203,5234576.7407,2.4
0_5X 3,2.7283,12522657.0894,2.85
0_5X 3,2.7603,546400.5487,1.6
0_5X 3,2.8043,1139546.6751,1.6
0_5X 3,2.8523,3437071.7901,1.5
0_5X 3,2.8963,3550983.5936,1.55
0_5X 3,2.9603,3949131.1239,2.55
1X 1,0.6323,1584.6125,1.75
1X 1,0.6683,620284.0653,2.95
