Sample,time,power,scale
1X 1,1.1003,1401101.1505,2.35
1X 1,1.2603,3333187.7058,2.9
1X 1,1.3883,12071004.1166,2.35
1X 1,1.4363,1210882.1355,2.9
1X 1,1.4803,3893868.3791,1.95
1X 1,1.5243,4663938.7695,2.75
1X 1,1.5803,7761696.3813,1.5
1X 1,1.6243,1177758.5288,1.5
1X 1,1.6563,14392575.8106,2.2
1X 1,1.6923,199835.8783,2.55
1X 1,1.7243,13990074.6822,1.6
1X 1,1.7683,769356.7255,1.55
1X 1,1.8163,15816599.5707,1.55
1X 1,1.8723,2966365.4702,3
1X 1,1.9243,12260864.3501,3
1X 1,1.9803,6669444.1717,3
1X 1,2.0243,1602627.4242,1.75
1X 1,2.0603,14930336.727,1.5
1X 1,2.1163,1754200.4168,3
1X 1,2.1803,1864132.607,2.15
1X 1,2.2163,3653587.244,2.95
1X 1,2.2563,2139509.7729,1.9
1X 1,2.2923,4830478.1428,1.6
1X 1,2.3283,3683122.4472,1.55
1X 1,2.3763,5182804.6589,3
1X 1,2.4243,3032570.4892,2.7
1X 1,2.4563,244657.67310000001,1.85
1X 1,2.5163,17356144.0846,3
1X 1,2.5683,936013.4191,1.8
1X 1,2.6203,8787999.761,2.9
1X 1,2.6883,2672477.2894,3
1X 1,2.7523,4313851.1337,1.6
1X 1,2.8083,9326129.061,1.7
1X 1,2.8603,1303420.2426,1.9
1X 1,2.8883,7165000.6027,1.7
1X 1,2.9283,3208636.035,3
1X 1,2.9643,624311.9968,1.55
1X 2,0.6163,51419.0431,1.5
1X 2,0.6643,207929.0002,3
1X 2,0.7123,586318.617,1.95
1X 2,0.7603,299897.5953,2.35
1X 2,0.7883,7489.6055,1.55
1X 2,0.8243,679224.583,3
1X 2,0.9163,110931.3548,1.75
1X 2,0.9603,33457.1344,1.8
1X 2,0.9923,413805.6486,2.7
1X 2,1.0443,3415315.1604,3
1X 2,1.0923,1727313.2377,1.65
1X 2,1.1243,445467.6415,1.55
1X 2,1.2363,615448.5412,1.6
1X 2,1.2683,126772.0962,1.5
1X 2,1.3923,309478.5639,2.45
1X 2,1.4283,824543.5406,1.6
1X 2,1.4603,4650122.2791,2.6
1X 2,1.4963,182938.7256,1.7
1X 2,1.5283,2913171.1232,3
1X 2,1.5923,492423.1249,1.55
1X 2,1.6643,785175.9906,3
1X 2,1.7403,5079898.0579,1.5
1X 2,1.7923,12636918.5873,1.85
1X 2,1.8523,9385767.3712,1.55
1X 2,1.8883,3647985.6538,2.5
1X 2,1.9323,8495111.905,2.75
1X 2,1.9563,9323911.9077,1.5
1X 2,2.0083,2520399.6576,2.4
1X 2,2.0603,2998346.5723,3
1X 2,2.1203,19578812.0562,1.85
1X 2,2.1523,1705200.3753,1.9
1X 2,2.1923,177663.5555,1.65
1X 2,2.2323,14348162.0566,2.55
1X 2,2.2763,14297894.2733,3
1X 2,2.3243,2775287.0555,2.1
1X 2,2.3523,721940.0503,1.8
1X 2,2.3963,3730610.8804,2.25
1X 2,2.4603,3604742.9167,1.85
1X 2,2.5083,1804628.4119,2.9
1X 2,2.5483,3035932.3366,2.5
1X 2,2.5883,3788432.9464,2.85
1X 2,2.6323,9715343.3265,1.6
1X 2,2.6723,2544783.694,1.55
1X 2,2.7283,7154324.3328,2.95
1X 2,2.7723,957038.8991,2.35
1X 2,2.8363,15755309.0199,3
1X 2,2.8883,12389419.8417,1.55
1X 2,2.9563,13381289.8087,1.6
1X 3,0.7163,690870.2143,1.6
1X 3,0.8363,1171527.0789,1.7
1X 3,0.8683,728369.9081,1.5
1X 3,0.9443,161100.2348,2
1X 3,0.9843,1500321.0244,2.25
1X 3,1.0603,315599.54,3
1X 3,1.1403,903356.8859,1.7
1X 3,1.2363,732122.3454,1.55
1X 3,1.2683,1832105.2158,2.45
1X 3,1.3883,1554930.2936,2.7
1X 3,1.4323,4627975.4667,1.85
1X 3,1.5003,14784263.1335,2.95
1X 3,1.5803,3570634.7239,3
1X 3,1.6163,12778473.4768,1.7
1X 3,1.6443,2176597.6754,1.9
1X 3,1.6843,5420427.1975,1.95
1X 3,1.7083,3702050.3207,3
1X 3,1.7883,21170633.9551,3
1X 3,1.8723,9986676.5982,1.9
1X 3,1.9283,3592196.9649,1.6
1X 3,1.9603,413150.7596,2.25
1X 3,2.0043,7762648.5376,1.85
1X 3,2.0683,19063145.6202,1.55
1X 3,2.1243,1393886.7115,2.55
1X 3,2.1803,13424627.7288,1.85
1X 3,2.2043,5091133.2377,2.05
1X 3,2.2843,2461211.323,1.75
1X 3,2.3283,10055436.866,1.5
1X 3,2.3603,4300671.58,2.2
1X 3,2.3923,1557475.0604,1.5
1X 3,2.4723,14724257.4513,1.65
1X 3,2.5283,3325957.6957,1.5
1X 3,2.5643,5152117.497,2.3
1X 3,2.6163,511884.3855,1.65
1X 3,2.6603,3393619.3636,2.7
1X 3,2.6963,2312060.5659,2
1X 3,2.7363,1703679.0637,3
1X 3,2.7763,3123104.5014,1.65
1X 3,2.8283,6534368.0555,1.55
1X 3,2.8683,27950473.5626,3
1X 3,2.9003,395355.6634,1.55
1X 3,2.9403,2777390.6534,1.5
2X 1,0.6283,1625274.7171,1.85
2X 1,0.6723,79404.7545,1.5
2X 1,0.7403,394738.3399,1.5
2X 1,0.7843,795060.9288,2.4
2X 1,0.8403,325510.038,2.85
2X 1,0.8843,65880.5716,1.5
2X 1,0.9443,524148.3734,2.35
2X 1,1.0203,872074.9509,1.6
2X 1,1.0923,653498.7875,1.55
2X 1,1.2483,1977103.2637,1.5
2X 1,1.3883,4252488.7593,2.65
2X 1,1.4363,838209.0021,1.5
2X 1,1.4923,882945.9688,1.5
2X 1,1.5363,6246084.7639,1.6
2X 1,1.5803,2998154.9873,2.95
2X 1,1.6363,916332.9536,2.65
2X 1,1.6763,18871554.4826,2.55
2X 1,1.7243,7115321.1223,2.7
2X 1,1.7643,6454699.8502,2.2
2X 1,1.8083,15304426.8274,1.6
2X 1,1.8763,8034322.2542,1.9
2X 1,1.9243,980643.8874,2.95
2X 1,1.9643,1037582.8755,1.65
2X 1,2.0043,6602411.9612,1.6
2X 1,2.0523,17190893.7049,3
2X 1,2.1043,2953566.2787,1.6
2X 1,2.1443,6908259.7683,2.6
2X 1,2.1963,4312567.9645,2.95
2X 1,2.2403,2059330.3258,1.55
2X 1,2.2923,12270122.8692,2.25
2X 1,2.3523,11356869.4813,1.65
2X 1,2.4083,5556230.9851,2.9
2X 1,2.4523,8705755.2723,2.35
2X 1,2.5003,2868775.3567,1.65
2X 1,2.5323,5943907.6958,1.5
2X 1,2.5643,847799.3297,2.5
2X 1,2.6403,2123510.7579,1.85
2X 1,2.6763,9081202.4687,2.75
2X 1,2.7163,3018239.5653,1.6
2X 1,2.8083,12291595.0809,2.95
2X 1,2.8563,4183105.7416,1.65
2X 1,2.8883,17613780.6977,2.65
2X 1,2.9363,3170635.3566,2.8
2X 1,2.9723,666508.5347,2.25
2X 2,0.6443,122330.0238,2.45
2X 2,0.6803,398685.2861,2.65
2X 2,0.7323,340790.2388,1.55
2X 2,0.7843,331060.6932,1.5
2X 2,0.8243,13560.3098,1.65
2X 2,0.8763,2928524.8236,1.55
2X 2,0.9003,651957.2728,2.3
2X 2,0.9563,185373.1542,2.1
2X 2,1.0003,1847524.3841,2.1
2X 2,1.0323,60646.9485,1.85
2X 2,1.0843,282526.326,2.1
2X 2,1.1083,663755.6892,1.9
2X 2,1.2563,2629598.4984,1.55
2X 2,1.3803,2066334.9498,2.75
2X 2,1.4403,2764979.7603,2.2
2X 2,1.4803,1648021.0204,1.55
2X 2,1.5403,11670075.4207,1.55
2X 2,1.6283,2795403.6861,2.25
2X 2,1.6723,3512754.7526,3
2X 2,1.7243,5171507.2745,2.35
2X 2,1.8043,19245699.4411,2.6
2X 2,1.8523,11568471.0069,1.55
2X 2,1.8883,4970750.175,1.55
2X 2,1.9363,12283682.6966,1.85
2X 2,1.9643,1189381.8081,1.55
2X 2,2.0083,1007755.1288,1.7
2X 2,2.0603,5614364.373,2.85
2X 2,2.1283,36171.4108,2.45
2X 2,2.1603,2962024.2703,1.65
2X 2,2.2043,4678660.5257,2.95
2X 2,2.2283,8139008.677,1.65
2X 2,2.2803,2532546.0235,3
2X 2,2.3283,610409.9287,2.55
2X 2,2.3803,21532161.4896,3
2X 2,2.4403,2527429.7254,2.95
2X 2,2.4963,1455770.7549,1.5
2X 2,2.5523,3182611.48,3
2X 2,2.6123,8373175.2656,3
2X 2,2.6643,1635563.4677,2.8
2X 2,2.7043,7468931.7697,3
2X 2,2.7563,5304371.8438,1.5
2X 2,2.8003,5045517.0084,1.6
2X 2,2.8523,5401671.0376,1.6
